PollEndDate,Pollster,Party,NSW,VIC,QLD,SA,WA
28/10/01,Newspoll,ALP,36,41,37,36,36
28/10/01,Newspoll,LNP,48,46,48,50,49
28/10/01,Newspoll,OTH,16,13,15,14,15
30/09/01,Newspoll,LNP,43,43,43,43,39
30/09/01,Newspoll,ALP,38,44,40,35,37
30/09/01,Newspoll,GRN,4,3,2,2,6
30/09/01,Newspoll,OTH,15,10,15,20,18
30/06/01,Newspoll,LNP,41,39,37,38,39
30/06/01,Newspoll,ALP,40,44,45,36,42
30/06/01,Newspoll,GRN,3,4,2,2,4
30/06/01,Newspoll,OTH,16,13,16,24,15
31/03/01,Newspoll,LNP,40,39,37,38,37
31/03/01,Newspoll,ALP,42,49,47,41,41
31/03/01,Newspoll,GRN,3,3,3,2,8
31/03/01,Newspoll,OTH,15,9,13,19,14
31/12/00,Newspoll,LNP,44,41,43,44,40
31/12/00,Newspoll,ALP,40,47,42,40,41
31/12/00,Newspoll,GRN,3,2,3,1,4
31/12/00,Newspoll,OTH,13,10,12,15,15
30/09/00,Newspoll,LNP,44,42,45,42,43
30/09/00,Newspoll,ALP,43,49,41,43,40
30/09/00,Newspoll,OTH,13,9,14,15,17
30/06/00,Newspoll,LNP,43,40,42,42,43
30/06/00,Newspoll,ALP,43,49,43,41,38
30/06/00,Newspoll,OTH,14,11,15,17,19
31/03/00,Newspoll,LNP,42,45,46,45,40
31/03/00,Newspoll,ALP,43,47,42,39,42
31/03/00,Newspoll,OTH,15,8,12,16,18
31/12/99,Newspoll,LNP,45,47,45,44,42
31/12/99,Newspoll,ALP,42,45,41,41,43
31/12/99,Newspoll,OTH,13,8,14,15,15



