date,Labor2ppAUS,Pollster
27/08/00,55,Morgan
10/09/00,53.25,Newspoll
10/09/00,56.5,Morgan
24/09/00,50.72,Newspoll
24/09/00,56,Morgan
8/10/00,52.65,Newspoll
8/10/00,56.5,Morgan
22/10/00,50.55,Newspoll
22/10/00,57,Morgan
5/11/00,51,Nielsen
5/11/00,53.55,Newspoll
5/11/00,57.5,Morgan
19/11/00,48.55,Newspoll
19/11/00,55.5,Morgan
24/11/00,54,Nielsen
3/12/00,49.65,Newspoll
3/12/00,55,Morgan
17/12/00,51.8,Newspoll
17/12/00,56,Morgan
14/01/01,57.5,Morgan
21/01/01,50,Newspoll
28/01/01,54,Morgan
11/02/01,56,Nielsen
11/02/01,54.9,Newspoll
11/02/01,57,Morgan
25/02/01,54.2,Newspoll
25/02/01,63,Morgan
11/03/01,59,Nielsen
11/03/01,57.27,Newspoll
11/03/01,61.5,Morgan
25/03/01,55.37,Newspoll
25/03/01,60,Morgan
6/04/01,59.5,Morgan
8/04/01,60,Nielsen
8/04/01,53.67,Newspoll
8/04/01,59.5,Morgan
22/04/01,53.42,Newspoll
22/04/01,59.5,Morgan
6/05/01,56,Nielsen
6/05/01,56.24,Newspoll
20/05/01,51.55,Newspoll
20/05/01,61,Morgan
27/05/01,57,Nielsen
27/05/01,50.37,Newspoll
27/05/01,57,Morgan
3/06/01,54.37,Newspoll
3/06/01,60,Morgan
17/06/01,49.49,Newspoll
17/06/01,57,Morgan
1/07/01,53.94,Newspoll
1/07/01,56.5,Morgan
15/07/01,53.05,Newspoll
15/07/01,55,Morgan
29/07/01,49.04,Newspoll
29/07/01,56.5,Morgan
12/08/01,53,Nielsen
12/08/01,52.32,Newspoll
12/08/01,55.5,Morgan
26/08/01,51.42,Newspoll
26/08/01,57,Morgan
2/09/01,52,Nielsen
2/09/01,52,Morgan
9/09/01,48.92,Newspoll
9/09/01,55,Morgan
16/09/01,51,Morgan
23/09/01,43,Nielsen
23/09/01,43.47,Newspoll
23/09/01,51,Morgan
7/10/01,43.5,Newspoll
7/10/01,50,Morgan
10/10/01,45,Nielsen
14/10/01,44.5,Newspoll
14/10/01,45,Morgan
21/10/01,49,Nielsen
21/10/01,48,Newspoll
21/10/01,51.5,Morgan
28/10/01,48,Nielsen
28/10/01,46,Newspoll
28/10/01,52.5,Morgan
4/11/01,49,Newspoll
4/11/01,54.5,Morgan
8/11/01,48,Nielsen
8/11/01,47,Newspoll
10/11/01,49,Morgan
25/11/01,46.14,Newspoll
16/12/01,47.23,Newspoll
13/01/02,50,Morgan
20/01/02,45.85,Newspoll
27/01/02,52.5,Morgan
10/02/02,46.31,Newspoll
10/02/02,49,Morgan
24/02/02,50.38,Newspoll
24/02/02,51,Morgan
10/03/02,48.22,Newspoll
10/03/02,51.5,Morgan
24/03/02,48.31,Newspoll
24/03/02,54,Morgan
7/04/02,50.75,Newspoll
7/04/02,53.5,Morgan
21/04/02,51.1,Newspoll
21/04/02,50,Morgan
5/05/02,49.22,Newspoll
5/05/02,52.5,Morgan
19/05/02,50.75,Newspoll
19/05/02,54,Morgan
2/06/02,50.19,Newspoll
2/06/02,53.5,Morgan
16/06/02,51.5,Morgan
23/06/02,48.93,Newspoll
24/06/02,51,Morgan
7/07/02,48.85,Newspoll
14/07/02,54,Morgan
21/07/02,51.13,Newspoll
28/07/02,50,Morgan
4/08/02,49.54,Newspoll
11/08/02,52.5,Morgan
18/08/02,48.28,Newspoll
25/08/02,54,Morgan
8/09/02,53,Morgan
15/09/02,49.1,Newspoll
22/09/02,51.5,Morgan
29/09/02,50.72,Newspoll
6/10/02,51,Morgan
20/10/02,45.53,Newspoll
20/10/02,51,Morgan
1/11/02,51,Morgan
3/11/02,45.72,Newspoll
3/11/02,47.5,Morgan
17/11/02,47.76,Newspoll
17/11/02,47,Morgan
1/12/02,50,Newspoll
15/12/02,48,Newspoll
15/12/02,49.5,Morgan
14/01/03,48,Nielsen
18/01/03,48,Newspoll
24/01/03,52,Morgan
1/02/03,49,Newspoll
7/02/03,52.5,Morgan
15/02/03,49,Newspoll
21/02/03,49,Morgan
1/03/03,49,Newspoll
7/03/03,53.5,Morgan
14/03/03,53.5,Morgan
15/03/03,49,Newspoll
21/03/03,47.5,Morgan
22/03/03,47,Newspoll
29/03/03,46,Newspoll
2/04/03,50,Morgan
4/04/03,54,Morgan
11/04/03,51,Morgan
12/04/03,45,Newspoll
18/04/03,49,Morgan
3/05/03,46,Newspoll
4/05/03,47,Nielsen
16/05/03,50,Morgan
17/05/03,46,Newspoll
18/05/03,49,Nielsen
29/05/03,53,Morgan
31/05/03,49,Newspoll
13/06/03,49,Morgan
21/06/03,46,Newspoll
27/06/03,49,Morgan
5/07/03,47,Newspoll
19/07/03,47,Newspoll
25/07/03,50,Morgan
2/08/03,48,Newspoll
5/08/03,52,Morgan
8/08/03,49.5,Morgan
15/08/03,48.5,Morgan
16/08/03,48,Newspoll
22/08/03,52,Morgan
30/08/03,49,Newspoll
13/09/03,49,Newspoll
19/09/03,52,Morgan
21/09/03,48,Nielsen
27/09/03,50,Newspoll
30/09/03,53,Morgan
3/10/03,49.5,Morgan
17/10/03,50,Morgan
18/10/03,51,Newspoll
1/11/03,46,Newspoll
14/11/03,49.5,Morgan
15/11/03,50,Newspoll
21/11/03,52,Morgan
28/11/03,52,Morgan
29/11/03,47,Newspoll
5/12/03,52.5,Morgan
6/12/03,49,Newspoll
7/12/03,48,Nielsen
13/12/03,49,Newspoll
19/12/03,54,Morgan
6/01/04,56.5,Morgan
9/01/04,55.5,Morgan
17/01/04,50,Newspoll
23/01/04,55,Morgan
5/02/04,55.5,Morgan
7/02/04,53,Newspoll
20/02/04,55.5,Morgan
21/02/04,50,Newspoll
29/02/04,54,Nielsen
2/03/04,55,Morgan
6/03/04,55,Newspoll
19/03/04,55.5,Morgan
20/03/04,55,Newspoll
28/03/04,55,Nielsen
31/03/04,53.5,Morgan
3/04/04,53,Newspoll
16/04/04,54.5,Morgan
17/04/04,53,Newspoll
25/04/04,53,Nielsen
14/05/04,52.5,Morgan
15/05/04,54,Newspoll
23/05/04,56,Nielsen
28/05/04,55,Morgan
29/05/04,47,Newspoll
11/06/04,53,Morgan
19/06/04,52,Nielsen
19/06/04,52,Newspoll
25/06/04,54,Morgan
2/07/04,51.5,Morgan
3/07/04,51,Newspoll
9/07/04,54,Morgan
17/07/04,51,Newspoll
18/07/04,52,Nielsen
23/07/04,53,Morgan
31/07/04,50,Newspoll
3/08/04,56,Morgan
6/08/04,53.5,Morgan
