PollEndDate,Pollster,LNP,ALP,GRN,PUP,FFP,DEM,PHON,OTH
20/11/2011,Newspoll,48,30,10,#N/A,#N/A,#N/A,#N/A,12
20/11/2011,Morgan,45.5,36.5,12,#N/A,#N/A,#N/A,#N/A,6
14/11/2011,Essential,47,35,10,#N/A,#N/A,#N/A,#N/A,8
13/11/2011,Morgan,47,34.5,11.5,#N/A,#N/A,#N/A,#N/A,7
12/11/2011,Nielsen,45,30,14,#N/A,2,#N/A,#N/A,10
7/11/2011,Essential,46,35,9,#N/A,#N/A,#N/A,#N/A,9
6/11/2011,Newspoll,44,32,12,#N/A,#N/A,#N/A,#N/A,12
3/11/2011,Morgan,45,34,12.5,#N/A,#N/A,#N/A,#N/A,8.5
31/10/2011,Essential,47,34,10,#N/A,#N/A,#N/A,#N/A,9
30/10/2011,Morgan,46.5,34,13.5,#N/A,#N/A,#N/A,#N/A,6
26/10/2011,Morgan,47,31,12.5,#N/A,#N/A,#N/A,#N/A,9.5
24/10/2011,Essential,48,32,11,#N/A,#N/A,#N/A,#N/A,8
23/10/2011,Newspoll,45,29,15,#N/A,#N/A,#N/A,#N/A,11
23/10/2011,Morgan,49.5,35,10.5,#N/A,#N/A,#N/A,#N/A,5
17/10/2011,Essential,48,33,11,#N/A,#N/A,#N/A,#N/A,8
16/10/2011,Morgan,44,36.5,10,#N/A,#N/A,#N/A,#N/A,9.5
16/10/2011,Galaxy,51,29,12,#N/A,#N/A,#N/A,#N/A,8
15/10/2011,Nielsen,48,30,12,#N/A,1,#N/A,#N/A,9
10/10/2011,Essential,48,33,10,#N/A,#N/A,#N/A,#N/A,9
9/10/2011,Newspoll,49,29,12,#N/A,#N/A,#N/A,#N/A,10
9/10/2011,Morgan,43.5,38.5,11,#N/A,#N/A,#N/A,#N/A,7
3/10/2011,Essential,48,33,11,#N/A,#N/A,#N/A,#N/A,9
2/10/2011,Morgan,46.5,35.5,10,#N/A,#N/A,#N/A,#N/A,8
26/09/2011,Essential,49,32,12,#N/A,#N/A,#N/A,#N/A,8
19/09/2011,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,9
18/09/2011,Newspoll,48,26,13,#N/A,#N/A,#N/A,#N/A,13
18/09/2011,Morgan,48,32,11,#N/A,#N/A,#N/A,#N/A,9
12/09/2011,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,10
10/09/2011,Nielsen,48,27,13,#N/A,2,#N/A,#N/A,10
5/09/2011,Essential,49,30,11,#N/A,#N/A,#N/A,#N/A,10
4/09/2011,Newspoll,50,27,12,#N/A,#N/A,#N/A,#N/A,11
4/09/2011,Morgan,46.5,32.5,12.5,#N/A,#N/A,#N/A,#N/A,8.5
29/08/2011,Essential,49,32,10,#N/A,#N/A,#N/A,#N/A,8
22/08/2011,Essential,50,32,10,#N/A,#N/A,#N/A,#N/A,8
21/08/2011,Newspoll,47,27,14,#N/A,#N/A,#N/A,#N/A,12
21/08/2011,Morgan,49.5,32.5,11,#N/A,#N/A,#N/A,#N/A,7
15/08/2011,Essential,50,31,10,#N/A,#N/A,#N/A,#N/A,9
13/08/2011,Nielsen,48,28,12,#N/A,2,#N/A,#N/A,9
10/08/2011,Morgan,49,29.5,12,#N/A,#N/A,#N/A,#N/A,9.5
8/08/2011,Essential,50,30,10,#N/A,#N/A,#N/A,#N/A,10
7/08/2011,Newspoll,47,29,12,#N/A,#N/A,#N/A,#N/A,12
7/08/2011,Morgan,47.5,34.5,12,#N/A,#N/A,#N/A,#N/A,6
1/08/2011,Essential,49,31,11,#N/A,#N/A,#N/A,#N/A,9
25/07/2011,Essential,48,32,11,#N/A,#N/A,#N/A,#N/A,9
24/07/2011,Newspoll,47,29,13,#N/A,#N/A,#N/A,#N/A,11
24/07/2011,Morgan,47,34.5,12,#N/A,#N/A,#N/A,#N/A,6.5
18/07/2011,Essential,49,31,11,#N/A,#N/A,#N/A,#N/A,9
16/07/2011,Nielsen,51,26,11,#N/A,2,#N/A,#N/A,11
14/07/2011,Morgan,52.5,27.5,10.5,#N/A,#N/A,#N/A,#N/A,9.5
11/07/2011,Essential,50,30,11,#N/A,#N/A,#N/A,#N/A,9
10/07/2011,Newspoll,49,27,12,#N/A,#N/A,#N/A,#N/A,12
10/07/2011,Morgan,48,33.5,11.5,#N/A,#N/A,#N/A,#N/A,7
4/07/2011,Essential,49,32,11,#N/A,#N/A,#N/A,#N/A,9
2/07/2011,Morgan,49,31.5,11.5,#N/A,2,#N/A,#N/A,6
27/06/2011,Essential,48,32,11,#N/A,#N/A,#N/A,#N/A,9
26/06/2011,Newspoll,46,30,11,#N/A,#N/A,#N/A,#N/A,13
20/06/2011,Essential,47,32,12,#N/A,#N/A,#N/A,#N/A,9
19/06/2011,Morgan,46.5,35,11.5,#N/A,2,#N/A,#N/A,5
16/06/2011,Nielsen,49,27,12,#N/A,3,#N/A,#N/A,9
14/06/2011,Essential,46,34,12,#N/A,#N/A,#N/A,#N/A,8
12/06/2011,Newspoll,46,31,11,#N/A,#N/A,#N/A,#N/A,12
6/06/2011,Essential,46,34,12,#N/A,#N/A,#N/A,#N/A,8
5/06/2011,Morgan,46.5,33.5,12,#N/A,2.5,#N/A,#N/A,5.5
2/06/2011,Morgan,50,30,9.5,#N/A,#N/A,#N/A,#N/A,10.5
30/05/2011,Essential,47,34,12,#N/A,#N/A,#N/A,#N/A,8
29/05/2011,Newspoll,44,34,14,#N/A,#N/A,#N/A,#N/A,8
29/05/2011,Morgan,45.5,36,12,#N/A,#N/A,#N/A,#N/A,6.5
23/05/2011,Essential,46,34,12,#N/A,#N/A,#N/A,#N/A,8
16/05/2011,Essential,46,36,11,#N/A,#N/A,#N/A,#N/A,7
15/05/2011,Newspoll,46,33,10,#N/A,#N/A,#N/A,#N/A,11
15/05/2011,Morgan,44.5,36,13,#N/A,2,#N/A,#N/A,4.5
14/05/2011,Nielsen,47,31,10,#N/A,2,#N/A,#N/A,11
10/05/2011,Nielsen,49,28,12,#N/A,3,#N/A,#N/A,9
9/05/2011,Essential,47,35,10,#N/A,#N/A,#N/A,#N/A,8
8/05/2011,Morgan,48,34,11,#N/A,1.5,#N/A,#N/A,5.5
4/05/2011,Morgan,46,34,11,#N/A,2,#N/A,#N/A,7
2/05/2011,Essential,47,35,9,#N/A,#N/A,#N/A,#N/A,9
1/05/2011,Newspoll,44,33,12,#N/A,#N/A,#N/A,#N/A,11
1/05/2011,Morgan,46,37,10.5,#N/A,2,#N/A,#N/A,4.5
24/04/2011,Essential,47,35,10,#N/A,#N/A,#N/A,#N/A,8
18/04/2011,Essential,47,35,11,#N/A,#N/A,#N/A,#N/A,8
17/04/2011,Morgan,46,35,11.5,#N/A,2,#N/A,#N/A,5.5
16/04/2011,Nielsen,47,31,12,#N/A,2,#N/A,#N/A,9
11/04/2011,Essential,46,35,11,#N/A,#N/A,#N/A,#N/A,8
4/04/2011,Essential,46,36,10,#N/A,#N/A,#N/A,#N/A,8
3/04/2011,Newspoll,45,32,12,#N/A,#N/A,#N/A,#N/A,12
3/04/2011,Morgan,48,36.5,9.5,#N/A,2,#N/A,#N/A,4
28/03/2011,Essential,46,37,10,#N/A,#N/A,#N/A,#N/A,7
27/03/2011,Morgan,47,35.5,11.5,#N/A,1.5,#N/A,#N/A,4.5
24/03/2011,Morgan,47,34.5,10,#N/A,1,#N/A,#N/A,7.5
21/03/2011,Essential,46,36,10,#N/A,#N/A,#N/A,#N/A,8
20/03/2011,Newspoll,40,36,12,#N/A,#N/A,#N/A,#N/A,12
20/03/2011,Morgan,40,39.5,12.5,#N/A,2,#N/A,#N/A,6
17/03/2011,Morgan,42.5,35.5,12,#N/A,1.5,#N/A,#N/A,8.5
14/03/2011,Essential,47,35,10,#N/A,#N/A,#N/A,#N/A,8
13/03/2011,Morgan,44.5,38,11.5,#N/A,1.5,#N/A,#N/A,4.5
12/03/2011,Nielsen,45,33,12,#N/A,2,#N/A,#N/A,8
10/03/2011,Morgan,47.5,31.5,10,#N/A,1.5,#N/A,#N/A,8
7/03/2011,Essential,47,36,10,#N/A,#N/A,#N/A,#N/A,7
6/03/2011,Newspoll,45,30,15,#N/A,#N/A,#N/A,#N/A,10
6/03/2011,Morgan,46.5,37,9.5,#N/A,1,#N/A,#N/A,6
28/02/2011,Essential,45,37,10,#N/A,#N/A,#N/A,#N/A,7
27/02/2011,Morgan,41,41,11.5,#N/A,1,#N/A,#N/A,5.5
23/02/2011,Morgan,45.5,36,9.5,#N/A,1.5,#N/A,#N/A,7.5
21/02/2011,Essential,43,39,11,#N/A,#N/A,#N/A,#N/A,7
20/02/2011,Newspoll,41,36,13,#N/A,#N/A,#N/A,#N/A,10
20/02/2011,Morgan,43,39.5,11.5,#N/A,2,#N/A,#N/A,4
14/02/2011,Essential,44,40,10,#N/A,#N/A,#N/A,#N/A,6
12/02/2011,Nielsen,46,32,12,#N/A,2,#N/A,#N/A,7
7/02/2011,Essential,46,38,10,#N/A,#N/A,#N/A,#N/A,7
6/02/2011,Newspoll,44,32,14,#N/A,#N/A,#N/A,#N/A,10
6/02/2011,Morgan,43,39,12.5,#N/A,1.5,#N/A,#N/A,4
3/02/2011,Morgan,42.5,35,12,#N/A,3,#N/A,#N/A,7.5
30/01/2011,Essential,45,37,11,#N/A,#N/A,#N/A,#N/A,7
23/01/2011,Morgan,41.5,40.5,11.5,#N/A,2,#N/A,#N/A,4.5
23/01/2011,Essential,45,37,11,#N/A,#N/A,#N/A,#N/A,7
17/01/2011,Essential,46,38,10,#N/A,#N/A,#N/A,#N/A,6
9/01/2011,Morgan,44,38.5,13,#N/A,1.5,#N/A,#N/A,3
20/12/2010,Essential,46,38,10,#N/A,#N/A,#N/A,#N/A,7
13/12/2010,Essential,46,37,10,#N/A,#N/A,#N/A,#N/A,7
12/12/2010,Morgan,43,38,13.5,#N/A,1.5,#N/A,#N/A,4
6/12/2010,Essential,45,38,11,#N/A,#N/A,#N/A,#N/A,6
5/12/2010,Newspoll,41,34,14,#N/A,#N/A,#N/A,#N/A,11
5/12/2010,Morgan,40.5,40.5,13.5,#N/A,1.5,#N/A,#N/A,4
29/11/2010,Essential,44,38,11,#N/A,#N/A,#N/A,#N/A,7
28/11/2010,Morgan,42,40.5,12,#N/A,1.5,#N/A,#N/A,4
22/11/2010,Essential,45,38,10,#N/A,#N/A,#N/A,#N/A,8
21/11/2010,Newspoll,39,36,14,#N/A,#N/A,#N/A,#N/A,11
20/11/2010,Nielsen,43,35,13,#N/A,1,#N/A,#N/A,7
15/11/2010,Essential,45,39,10,#N/A,#N/A,#N/A,#N/A,7
14/11/2010,Morgan,40,41,12,#N/A,2.5,#N/A,#N/A,4.5
8/11/2010,Essential,46,39,8,#N/A,#N/A,#N/A,#N/A,7
7/11/2010,Newspoll,43,34,13,#N/A,#N/A,#N/A,#N/A,10
1/11/2010,Essential,44,41,8,#N/A,#N/A,#N/A,#N/A,7
31/10/2010,Morgan,40.5,43,10.5,#N/A,1.5,#N/A,#N/A,4.5
25/10/2010,Essential,44,41,8,#N/A,#N/A,#N/A,#N/A,7
24/10/2010,Newspoll,43,33,14,#N/A,#N/A,#N/A,#N/A,10
23/10/2010,Nielsen,43,34,14,#N/A,2,#N/A,#N/A,6
18/10/2010,Essential,44,40,9,#N/A,#N/A,#N/A,#N/A,7
17/10/2010,Morgan,40.5,43,10.5,#N/A,2.5,#N/A,#N/A,3.5
11/10/2010,Essential,44,41,8,#N/A,#N/A,#N/A,#N/A,7
10/10/2010,Newspoll,42,35,14,#N/A,#N/A,#N/A,#N/A,9
4/10/2010,Essential,44,42,8,#N/A,#N/A,#N/A,#N/A,7
3/10/2010,Morgan,38.5,44,12,#N/A,2,#N/A,#N/A,3.5
27/09/2010,Essential,43,42,9,#N/A,#N/A,#N/A,#N/A,6
20/09/2010,Essential,45,40,9,#N/A,#N/A,#N/A,#N/A,6
19/09/2010,Morgan,41,40.5,13,#N/A,2,#N/A,#N/A,3.5
16/09/2010,Morgan,42.5,35.5,15,#N/A,2.5,#N/A,#N/A,4.5
13/09/2010,Essential,44,39,10,#N/A,#N/A,#N/A,#N/A,6
12/09/2010,Newspoll,41,34,14,#N/A,#N/A,#N/A,#N/A,11
6/09/2010,Essential,43,39,11,#N/A,#N/A,#N/A,#N/A,8
5/09/2010,Morgan,39.5,40.5,15,#N/A,2,#N/A,#N/A,3
29/08/2010,Essential,44,38,11,#N/A,#N/A,#N/A,#N/A,7
26/08/2010,Morgan,40,36,13,#N/A,2,#N/A,#N/A,9
23/08/2010,Morgan,44.5,40.5,10,#N/A,2,#N/A,#N/A,3
21/08/2010,Morgan,43.6,38,11.8,#N/A,2.3,#N/A,#N/A,4.3
20/08/2010,Morgan,42.5,39,11.5,#N/A,1.5,#N/A,#N/A,5.5
20/08/2010,Essential,43,38,12,#N/A,#N/A,#N/A,#N/A,7
19/08/2010,Newspoll,43.4,36.2,13.9,#N/A,#N/A,#N/A,#N/A,6.5
19/08/2010,Nielsen,41.5,39,13,#N/A,1.5,#N/A,#N/A,5
19/08/2010,Morgan,42,38,13,#N/A,1.5,#N/A,#N/A,5.5
16/08/2010,Essential,44,39,10,#N/A,#N/A,#N/A,#N/A,6
15/08/2010,Newspoll,41,38,14,#N/A,#N/A,#N/A,#N/A,7
15/08/2010,Morgan,43,40,13.5,#N/A,1.5,#N/A,#N/A,2
14/08/2010,Morgan,44,40.5,12.5,#N/A,1,#N/A,#N/A,2
12/08/2010,Nielsen,41,40,12,#N/A,1,#N/A,#N/A,5
9/08/2010,Essential,42,41,10,#N/A,#N/A,#N/A,#N/A,7
8/08/2010,Newspoll,42,38,13,#N/A,#N/A,#N/A,#N/A,7
8/08/2010,Morgan,37,43,15.5,#N/A,2,#N/A,#N/A,2.5
5/08/2010,Nielsen,44,36,13,#N/A,1,#N/A,#N/A,5
3/08/2010,Morgan,45,38,11,#N/A,1,#N/A,#N/A,5
2/08/2010,Essential,39,40,13,#N/A,#N/A,#N/A,#N/A,8
1/08/2010,Newspoll,44,37,12,#N/A,#N/A,#N/A,#N/A,7
1/08/2010,Morgan,41,44,10,#N/A,1,#N/A,#N/A,4
29/07/2010,Nielsen,45,36,12,#N/A,1,#N/A,#N/A,5.5
28/07/2010,Morgan,42,42,11,#N/A,1.5,#N/A,#N/A,3.5
25/07/2010,Newspoll,42,40,12,#N/A,#N/A,#N/A,#N/A,6
25/07/2010,Morgan,37,43.5,11.5,#N/A,1.5,#N/A,#N/A,6.5
25/07/2010,Essential,39,41,13,#N/A,#N/A,#N/A,#N/A,8
22/07/2010,Nielsen,41,42,12,#N/A,1,#N/A,#N/A,4.5
21/07/2010,Morgan,38.5,44,11.5,#N/A,2,#N/A,#N/A,4
19/07/2010,Essential,39,41,13,#N/A,#N/A,#N/A,#N/A,7
18/07/2010,Newspoll,38,42,12,#N/A,#N/A,#N/A,#N/A,8
18/07/2010,Morgan,39.5,44.5,10.5,#N/A,1.5,#N/A,#N/A,4
18/07/2010,Galaxy,44,38,12,#N/A,#N/A,#N/A,#N/A,6
16/07/2010,Galaxy,42,39,13,#N/A,#N/A,#N/A,#N/A,6
11/07/2010,Morgan,41,40.5,12,#N/A,1.5,#N/A,#N/A,5
11/07/2010,Galaxy,42,39,14,#N/A,#N/A,#N/A,#N/A,5
11/07/2010,Essential,38,41,13,#N/A,#N/A,#N/A,#N/A,8
10/07/2010,Nielsen,42,39,13,#N/A,1,#N/A,#N/A,3
5/07/2010,Essential,39,42,11,#N/A,#N/A,#N/A,#N/A,8
4/07/2010,Morgan,38,45.5,10.5,#N/A,1.5,#N/A,#N/A,4.5
29/06/2010,Essential,39,42,9,#N/A,#N/A,#N/A,#N/A,10
28/06/2010,Morgan,45.5,38.5,9,#N/A,1.5,#N/A,#N/A,5.5
27/06/2010,Newspoll,40,42,10,#N/A,#N/A,#N/A,#N/A,8
25/06/2010,Nielsen,42,47,8,#N/A,1,#N/A,#N/A,3.5
25/06/2010,Galaxy,42,41,12,#N/A,#N/A,#N/A,#N/A,5
24/06/2010,Galaxy,42,41,11,#N/A,#N/A,#N/A,#N/A,6
22/06/2010,Essential,40,38,11,#N/A,#N/A,#N/A,#N/A,11
20/06/2010,Newspoll,40,35,15,#N/A,#N/A,#N/A,#N/A,10
20/06/2010,Morgan,41,41,12.5,#N/A,1.5,#N/A,#N/A,4
15/06/2010,Essential,41,35,14,#N/A,#N/A,#N/A,#N/A,10
13/06/2010,Morgan,41,38,13,#N/A,1.5,#N/A,#N/A,6.5
7/06/2010,Essential,40,37,12,#N/A,#N/A,#N/A,#N/A,10
6/06/2010,Morgan,41.5,40,11,#N/A,2.5,#N/A,#N/A,2
5/06/2010,Nielsen,43,33,15,#N/A,2,#N/A,#N/A,7
31/05/2010,Essential,41,39,9,#N/A,#N/A,#N/A,#N/A,10
30/05/2010,Newspoll,41,35,16,#N/A,#N/A,#N/A,#N/A,8
30/05/2010,Morgan,41,42,8.5,#N/A,1.5,#N/A,#N/A,7
27/05/2010,Morgan,43,37.5,11.5,#N/A,1.5,#N/A,#N/A,6.5
24/05/2010,Essential,41,40,10,#N/A,#N/A,#N/A,#N/A,9
23/05/2010,Morgan,41,42.5,11,#N/A,2,#N/A,#N/A,3.5
17/05/2010,Essential,43,38,10,#N/A,#N/A,#N/A,#N/A,9
16/05/2010,Newspoll,43,37,12,#N/A,#N/A,#N/A,#N/A,8
16/05/2010,Morgan,43,37.5,12,#N/A,1.5,#N/A,#N/A,6
16/05/2010,Galaxy,43,37,12,#N/A,#N/A,#N/A,#N/A,8
13/05/2010,Morgan,46,36,11.5,#N/A,2,#N/A,#N/A,4.5
10/05/2010,Essential,42,37,11,#N/A,#N/A,#N/A,#N/A,10
9/05/2010,Morgan,42.5,41,9,#N/A,2.5,#N/A,#N/A,5
8/05/2010,Nielsen,42,37,13,#N/A,3,#N/A,#N/A,5
5/05/2010,Morgan,44.5,39.5,9,#N/A,1.5,#N/A,#N/A,5.5
3/05/2010,Essential,39,40,11,#N/A,#N/A,#N/A,#N/A,10
2/05/2010,Newspoll,43,35,10,#N/A,#N/A,#N/A,#N/A,12
25/04/2010,Morgan,40.5,44,8,#N/A,2.5,#N/A,#N/A,5
25/04/2010,Essential,39,42,9,#N/A,#N/A,#N/A,#N/A,10
19/04/2010,Essential,39,42,11,#N/A,#N/A,#N/A,#N/A,9
18/04/2010,Newspoll,40,43,10,#N/A,#N/A,#N/A,#N/A,7
18/04/2010,Morgan,37.5,43,12,#N/A,2,#N/A,#N/A,5.5
17/04/2010,Nielsen,42,39,12,#N/A,1,#N/A,#N/A,4
12/04/2010,Essential,40,41,11,#N/A,#N/A,#N/A,#N/A,8
6/04/2010,Essential,39,43,10,#N/A,#N/A,#N/A,#N/A,9
4/04/2010,Morgan,36.5,48,8.5,#N/A,2.5,#N/A,#N/A,4.5
29/03/2010,Essential,39,43,9,#N/A,#N/A,#N/A,#N/A,9
28/03/2010,Newspoll,38,43,12,#N/A,#N/A,#N/A,#N/A,7
22/03/2010,Galaxy,44,29,14,#N/A,#N/A,#N/A,#N/A,13
22/03/2010,Essential,38,45,9,#N/A,#N/A,#N/A,#N/A,9
21/03/2010,Morgan,37,44.5,11,#N/A,2,#N/A,#N/A,5.5
15/03/2010,Essential,38,45,9,#N/A,#N/A,#N/A,#N/A,8
14/03/2010,Newspoll,41,39,11,#N/A,#N/A,#N/A,#N/A,9
9/03/2010,Essential,40,43,9,#N/A,#N/A,#N/A,#N/A,9
7/03/2010,Morgan,38.5,45,8.5,#N/A,2,#N/A,#N/A,6
6/03/2010,Nielsen,42,42,9,#N/A,1,#N/A,#N/A,5
1/03/2010,Essential,40,42,9,#N/A,#N/A,#N/A,#N/A,9
28/02/2010,Newspoll,41,40,9,#N/A,#N/A,#N/A,#N/A,10
22/02/2010,Essential,40,43,8,#N/A,#N/A,#N/A,#N/A,9
21/02/2010,Morgan,37.5,45,9,#N/A,2.5,#N/A,#N/A,6
15/02/2010,Essential,38,44,10,#N/A,#N/A,#N/A,#N/A,8
14/02/2010,Newspoll,40,39,12,#N/A,#N/A,#N/A,#N/A,9
14/02/2010,Morgan,37,47,9,#N/A,2,#N/A,#N/A,5
11/02/2010,Morgan,41,42,10.5,#N/A,1,#N/A,#N/A,5.5
8/02/2010,Essential,38,44,10,#N/A,#N/A,#N/A,#N/A,8
6/02/2010,Nielsen,41,42,10,#N/A,2,#N/A,#N/A,6
1/02/2010,Essential,38,45,9,#N/A,#N/A,#N/A,#N/A,8
31/01/2010,Newspoll,41,40,12,#N/A,#N/A,#N/A,#N/A,7
31/01/2010,Morgan,38,46,8.5,#N/A,1.5,#N/A,#N/A,6
24/01/2010,Essential,37,46,8,#N/A,#N/A,#N/A,#N/A,9
18/01/2010,Essential,38,45,8,#N/A,#N/A,#N/A,#N/A,9
17/01/2010,Newspoll,38,40,12,#N/A,#N/A,#N/A,#N/A,10
17/01/2010,Morgan,35.5,47.5,10,#N/A,2,#N/A,#N/A,5
14/01/2010,Morgan,39,43,9.5,#N/A,1.5,#N/A,#N/A,7
14/01/2010,Galaxy,43,39,15,#N/A,#N/A,#N/A,#N/A,13
3/01/2010,Morgan,37,45.5,10,#N/A,2,#N/A,#N/A,5.5
21/12/2009,Essential,37,47,8,#N/A,#N/A,#N/A,#N/A,8
14/12/2009,Essential,35,46,10,#N/A,#N/A,#N/A,#N/A,9
13/12/2009,Morgan,35.5,49,8,#N/A,1.5,#N/A,#N/A,6
9/12/2009,Morgan,41.5,42,9.5,#N/A,1.5,#N/A,#N/A,5.5
7/12/2009,Essential,34,46,9,#N/A,#N/A,#N/A,#N/A,11
6/12/2009,Newspoll,38,43,11,#N/A,#N/A,#N/A,#N/A,8
3/12/2009,Morgan,43,41,10.5,#N/A,1.5,#N/A,#N/A,4
29/11/2009,Newspoll,35,43,12,#N/A,#N/A,#N/A,#N/A,10
29/11/2009,Morgan,35,47,9.5,#N/A,3,#N/A,#N/A,5.5
29/11/2009,Essential,35,47,8,#N/A,#N/A,#N/A,#N/A,10
28/11/2009,Nielsen,37,42,13,#N/A,2,1,#N/A,6
22/11/2009,Morgan,35.5,48,9,#N/A,1.5,#N/A,#N/A,6
16/11/2009,Essential,39,45,9,#N/A,#N/A,#N/A,#N/A,7
15/11/2009,Newspoll,37,43,11,#N/A,#N/A,#N/A,#N/A,9
15/11/2009,Morgan,36.5,45,9,#N/A,3,#N/A,#N/A,6.5
12/11/2009,Morgan,41.5,42.5,8,#N/A,1,#N/A,#N/A,7
9/11/2009,Essential,35,48,9,#N/A,#N/A,#N/A,#N/A,8
8/11/2009,Morgan,38.5,46.5,8,#N/A,2,#N/A,#N/A,5
7/11/2009,Nielsen,38,45,9,#N/A,2,1,#N/A,4
2/11/2009,Essential,35,49,8,#N/A,#N/A,#N/A,#N/A,8
1/11/2009,Newspoll,41,41,10,#N/A,#N/A,#N/A,#N/A,8
1/11/2009,Morgan,35,51,9.5,#N/A,2,#N/A,#N/A,5
25/10/2009,Morgan,34.5,52,7.5,#N/A,2,#N/A,#N/A,4
19/10/2009,Essential,37,49,7,#N/A,#N/A,#N/A,#N/A,7
18/10/2009,Newspoll,34,48,10,#N/A,#N/A,#N/A,#N/A,8
12/10/2009,Essential,37,47,8,#N/A,#N/A,#N/A,#N/A,8
11/10/2009,Newspoll,36,47,10,#N/A,#N/A,#N/A,#N/A,7
11/10/2009,Morgan,34.5,49.5,9,#N/A,2.5,#N/A,#N/A,5
10/10/2009,Nielsen,37,46,10,#N/A,1,1,#N/A,5
8/10/2009,Morgan,37.5,46.5,10.5,#N/A,1,#N/A,#N/A,5
5/10/2009,Essential,34,50,8,#N/A,#N/A,#N/A,#N/A,8
1/10/2009,Newspoll,35,46,10,#N/A,#N/A,#N/A,#N/A,9
27/09/2009,Morgan,35.5,51,7.5,#N/A,2.5,#N/A,#N/A,4
21/09/2009,Essential,37,48,8,#N/A,#N/A,#N/A,#N/A,7
20/09/2009,Newspoll,38,43,11,#N/A,#N/A,#N/A,#N/A,8
14/09/2009,Essential,35,49,8,#N/A,#N/A,#N/A,#N/A,9
13/09/2009,Morgan,32.5,51.5,9.5,#N/A,2,#N/A,#N/A,4.5
12/09/2009,Nielsen,40,44,8,#N/A,2,1,#N/A,6
7/09/2009,Essential,34,51,8,#N/A,#N/A,#N/A,#N/A,8
6/09/2009,Newspoll,39,44,10,#N/A,#N/A,#N/A,#N/A,7
30/08/2009,Morgan,33.5,50.5,9.5,#N/A,2,#N/A,#N/A,4.5
23/08/2009,Newspoll,38,44,9,#N/A,#N/A,#N/A,#N/A,9
17/08/2009,Essential,35,47,9,#N/A,#N/A,#N/A,#N/A,9
16/08/2009,Morgan,34.5,47.5,9.5,#N/A,2.5,#N/A,#N/A,6
15/08/2009,Nielsen,38,46,8,#N/A,2,1,#N/A,5
10/08/2009,Essential,34,50,8,#N/A,#N/A,#N/A,#N/A,9
9/08/2009,Newspoll,37,45,10,#N/A,#N/A,#N/A,#N/A,8
6/08/2009,Morgan,37.5,45.5,11,#N/A,1.5,#N/A,#N/A,4.5
3/08/2009,Essential,35,50,7,#N/A,#N/A,#N/A,#N/A,9
2/08/2009,Morgan,34,50.5,8.5,#N/A,2,#N/A,#N/A,5
26/07/2009,Newspoll,38,46,9,#N/A,#N/A,#N/A,#N/A,7
20/07/2009,Essential,39,46,7,#N/A,#N/A,#N/A,#N/A,7
19/07/2009,Morgan,37.5,48,8,#N/A,2,#N/A,#N/A,4.5
13/07/2009,Essential,37,47,8,#N/A,#N/A,#N/A,#N/A,7
12/07/2009,Newspoll,39,43,11,#N/A,#N/A,#N/A,#N/A,7
6/07/2009,Essential,35,49,9,#N/A,#N/A,#N/A,#N/A,8
5/07/2009,Morgan,35,46.5,11.5,#N/A,2.5,#N/A,#N/A,4.5
2/07/2009,Morgan,39.5,46,8,#N/A,1,#N/A,#N/A,6
28/06/2009,Newspoll,37,44,10,#N/A,#N/A,#N/A,#N/A,9
28/06/2009,Galaxy,38,44,12,#N/A,#N/A,#N/A,#N/A,6
27/06/2009,Nielsen,37,46,10,#N/A,2,1,#N/A,4
22/06/2009,Essential,37,47,8,#N/A,#N/A,#N/A,#N/A,8
21/06/2009,Morgan,41,46,8.5,#N/A,1,#N/A,#N/A,3.5
15/06/2009,Essential,38,48,8,#N/A,#N/A,#N/A,#N/A,6
14/06/2009,Newspoll,40,41,11,#N/A,#N/A,#N/A,#N/A,8
14/06/2009,Morgan,38,48.5,7,#N/A,2.5,#N/A,#N/A,4
11/06/2009,Morgan,37,47.5,8.5,#N/A,2.5,#N/A,#N/A,4.5
9/06/2009,Essential,39,47,7,#N/A,#N/A,#N/A,#N/A,7
4/06/2009,Morgan,39.5,43.5,9,#N/A,2.5,#N/A,#N/A,5.5
1/06/2009,Essential,39,45,8,#N/A,#N/A,#N/A,#N/A,8
31/05/2009,Newspoll,38,43,10,#N/A,#N/A,#N/A,#N/A,9
31/05/2009,Morgan,36,49,8,#N/A,2,#N/A,#N/A,5
31/05/2009,Galaxy,40,43,11,#N/A,#N/A,#N/A,#N/A,6
21/05/2009,Morgan,40.5,45,7.5,#N/A,1,#N/A,#N/A,6
18/05/2009,Essential,32,52,8,#N/A,#N/A,#N/A,#N/A,8
17/05/2009,Newspoll,37,46,9,#N/A,#N/A,#N/A,#N/A,8
17/05/2009,Morgan,37.5,49.5,8,#N/A,1.5,#N/A,#N/A,3.5
16/05/2009,Nielsen,43,44,8,#N/A,1,1,#N/A,3
11/05/2009,Essential,33,50,8,#N/A,#N/A,#N/A,#N/A,9
10/05/2009,Morgan,34,50,9,#N/A,2.5,#N/A,#N/A,4.5
4/05/2009,Essential,37,47,8,#N/A,#N/A,#N/A,#N/A,8
3/05/2009,Newspoll,38,42,11,#N/A,#N/A,#N/A,#N/A,9
