2007 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Event:13745 Phase:FinalResults Generated:2008-09-03T12:42:05 Cycle:349e38e7-5eda-4bc7-a4a0-805bff59620f Created:2008-08-13T17:22:12 Environment:TEST Site:Primary Server:TST-VTR04 Version:4.8.0.0],,,,,,,,,,,,,,,,,,,
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
QLD,SAL,Socialist Alliance,9,3,3,0,943,0.05,118,0.09,4,0.11,76,0.05,33,0.02,1174,0.05,-0.01
QLD,CDP,CDP Christian Party,10,2,2,0,560,0.03,103,0.08,1,0.03,39,0.02,50,0.03,753,0.03,0.03
QLD,LDP,Liberty and Democracy Party,11,12,12,0,2631,0.14,489,0.36,10,0.28,262,0.16,139,0.09,3531,0.15,0.15
QLD,FPY,The Fishing Party,12,1,1,0,788,0.04,104,0.08,2,0.06,68,0.04,48,0.03,1010,0.04,0.04
QLD,IND,Independent,13,18,26,1,58043,3.02,4130,3.05,104,2.88,4550,2.79,4241,2.79,71068,2.99,-0.17
WA,LP,Liberal,1,15,15,11,446279,46.18,39139,44.39,1205,40.07,34096,47.37,24646,51.28,545365,46.31,-1.82
WA,ALP,Australian Labor Party,2,15,15,4,360326,37.29,29217,33.14,1186,39.44,26128,36.3,16485,34.3,433342,36.8,2.05
WA,GRN,The Greens,3,15,15,0,84436,8.74,10822,12.28,333,11.07,6284,8.73,3231,6.72,105106,8.93,1.26
WA,ON,One Nation,4,15,15,0,10106,1.05,1537,1.74,51,1.7,1035,1.44,800,1.66,13529,1.15,-1.37
WA,CDP,CDP Christian Party,5,15,15,0,20639,2.14,2000,2.27,69,2.29,1300,1.81,830,1.73,24838,2.11,-0.14
WA,NP,The Nationals,6,1,1,0,11603,1.2,935,1.06,5,0.17,389,0.54,527,1.1,13459,1.14,0.51
WA,CEC,Citizens Electoral Council,7,13,13,0,2237,0.23,503,0.57,16,0.53,235,0.33,124,0.26,3115,0.26,-0.34
WA,FFP,Family First,8,15,15,0,11028,1.14,1645,1.87,60,2,888,1.23,594,1.24,14215,1.21,0.97
WA,SAL,Socialist Alliance,9,3,3,0,919,0.1,131,0.15,3,0.1,65,0.09,23,0.05,1141,0.1,-0.05
WA,LDP,Liberty and Democracy Party,10,6,6,0,1972,0.2,489,0.55,24,0.8,181,0.25,64,0.13,2730,0.23,0.23
