2013 Federal Election House of Representatives Two Party Preferred Flow of Preferences By State By Party [Event:17496 Phase:FinalResults Generated:2014-05-16T15:46:28 Cycle:0c99bed2-eba4-4ece-90c3-f17f74812c47 Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT02 Version:9.1.9.16053],,,,,,
StateAb,PartyAb,PartyNm,Australian Labor Party Transfer Votes,Australian Labor Party Transfer Percentage,Liberal/National Coalition Transfer Votes,Liberal/National Coalition Transfer Percentage
TAS,SPP,Stable Population Party,67,54.03,57,45.97
TAS,IND,Independent,15235,61.71,9453,38.29
TAS,,First Preferences,114977,46.37,132961,53.63
ACT,GRN,The Greens,28468,87.98,3888,12.02
ACT,BTA,Bullet Train For Australia,6389,64.83,3466,35.17
ACT,PUP,Palmer United Party,3424,50.44,3364,49.56
ACT,DEM,Democrats,1213,49.63,1231,50.37
ACT,RUA,Rise Up Australia Party,591,39.19,917,60.81
ACT,SPA,Secular Party of Australia,927,73.34,337,26.66
ACT,,First Preferences,103676,55.36,83612,44.64
NT,GRN,The Greens,6310,80.47,1531,19.53
NT,CEC,Citizens Electoral Council,374,20.15,1482,79.85
NT,FNPP,A.F.N.P.P,1081,59.72,729,40.28
NT,PUP,Palmer United Party,1961,42.55,2648,57.45
NT,RUA,Rise Up Australia Party,588,40.72,856,59.28
NT,ASXP,Australian Sex Party,1185,64.16,662,35.84
NT,VEP,Voluntary Euthanasia Party,349,58.46,248,41.54
NT,IND,Independent,305,40.78,443,59.22
NT,,First Preferences,37221,47.3,41468,52.7

